Number;Nama Media;Jenis Media;Penanggung Jawab;Pemimpin Redaksi;Badan Hukum;Provinsi;Alamat;Telp;Email;Website;Status;Tgl Approve
1233;Trans 7 Palembang;Televisi;;;PT;Sumatera Selatan;Jl. Angkatan 45 Lr.Harapan No.23, Kel. Lorok Pakjo, Kec. Ilir Barat, Kota Palembang;;;;Terverifikasi Administrasi;2018-09-04
1234;Indosiar Palembang;Televisi;;;PT;Sumatera Selatan;Jl. Angkatan 45, Kel. Lorok Pakjo, Kec. Ilir Barat 1, Kota Palembang;;;;Terverifikasi Administrasi;2018-09-04
1235;Trans TV Palembang;Televisi;;;PT;Sumatera Selatan;;;;;Terverifikasi Administrasi;2018-09-04
1236;ANTV Palembang;Televisi;;;PT;Sumatera Selatan;Jl. Dwikora II No.4803, RW. 011, Kel. Sungai Pangeran, Palembang;;;;Terverifikasi Administrasi;2018-09-04
1237;Sriwijaya Vision;Televisi;;;PT;Sumatera Selatan;Jl. Radial No.30 RT.20 RW.06, Kel. 24 Ilir, Kec. Bukit Kecil, Kota Palembang;;;;Terverifikasi Administrasi;2018-09-04
1238;Waspada;Cetak;;;PT;Sumatera Utara;Jl. Brigjen Katamso No. 01;(0331) 331070;;;Terverifikasi Administrasi dan Faktual;2018-09-04
1239;ATV;Televisi;;;PT;Bali;Komp. Istana Kuta Galeria blok vallet 2 no. 12A, Abian Timbul, Kuta;;;;Terverifikasi Administrasi;2018-09-04
1240;Dewata TV;Televisi;;;PT;Bali;Jl. Hayam Wuruk no.98, Kel. Sumatera kelod, Kec. Denpasar Timur;;;;Terverifikasi Administrasi;2018-09-04
1241;Bali Music Channel/BMC;Televisi;;;PT;Bali;"Kantor : Jl. Diponegoro No. 109 Kel. Dauh Puri Kelod Kec. Denpasar Barat, Kota Denpasar
Pemancar : Jl. Cerida, Br. Manesa Kumpial, Kel. Benoa, Kec. Kuta Selatan, Kab. Badung";;;;Terverifikasi Administrasi;2018-09-04
1242;Metro TV Bali;Televisi;;;PT;Bali;"Jl. Banjar Kaja Jati, Kel. Kutuh, Kec. Kuta Selatan, Kota Badung
Alamat Pemancar:
Jl. Dharmawangsa No. 42 Br. Kaja Jati, Desa Kutuh, Kec. Kuta Selatan, Kab. Badung";;;;Terverifikasi Administrasi;2018-09-04
1243;MNCTV Network;Televisi;;;PT;Bali;"Alamat:
Jl. Diponegoro No.109, Dusun Sanglah Timur, Kel. Dauh Puri Kelot, Kec. Denpasar Barat
Alamat Pemancar:
Jl. Nusa Dua Km. 25 Bukit Kutuh, Kel. Kutuh, Kec. Kuta Selatan, Kab. Badung";;;;Terverifikasi Administrasi;2018-09-04
1244;Trans TV Denpasar;Televisi;;;PT;Bali;"Alamat/Pemancar:
Jl. Gunung Payung, Banjar Desa Pantigiri, Desa Kutuh, Kec. Kuta Selatan, Kab. Badung";;;;Terverifikasi Administrasi;2018-09-04
1245;Indosiar Bali;Televisi;;;PT;Bali;"Alamat Pemancar:
Br. Kaja Jati, Desa Kutuh, Kec. Kuta Selatan, Kab. Badung";;;;Terverifikasi Administrasi;2018-09-04
1246;ANTV Denpasar;Televisi;;;PT;Bali;Jl. Raya Nusa Dua km.25, Br. Petangan, Desa Kutuh, Kec. Kuta Selatan;;;;Terverifikasi Administrasi;2018-09-04
1247;Global TV;Televisi;;;PT;Bali;"Alamat:
Jl. Diponegoro No.109 Kota Denpasar
Alamat Pemancar:
Jl. Nusa Dua km.25, Kel. Kutuh, Kec. Kuta Selatan, Kab. badung";;;;Terverifikasi Administrasi;2018-09-04
1248;Trans7 Denpasar;Televisi;;;PT;Bali;"Alamat kantor: Jl. Gunung Payung 10A, Banjar Dinas Panigiri, Desa Kutuh, Kec. Kuta Selatan, Kab. Badung, Prov. Bali
d/h
Alamat Pemancar:
Banjar Petangan, Desa Kutuh, Kec. Kuta Selatan, Kab. badung";;;;Terverifikasi Administrasi;2018-09-04
1249;Bali TV;Televisi;;;PT;Bali;Jl. Kebo Iwa No. 63 A;0361-427372;redaksi@balitv.tv;;Terverifikasi Administrasi dan Faktual;2018-09-04
1250;Banten TV;Televisi;;;PT;Banten;Jl. Jend. Sudirman Blok F18-20, Kel Banjar Agung, Kec Cipocok Raya;;;;Terverifikasi Administrasi;2018-09-04
1251;BSTV;Televisi;;;PT;Banten;Jl. Boulevard Gajahmada no.2112, Kel. Panunggangan Barat, Kec. Cibodas;;;;Terverifikasi Administrasi;2018-09-04
1252;Kompas TV d/h Komedi TV;Televisi;;;PT;Banten;Jl. Kismaun No.169, Kel. Sukasari, Kec. Tangerang;;;;Terverifikasi Administrasi;2018-09-04
1253;TV Mitra;Televisi;;;PT;Banten;Jl. BARATA RAYA NO. 1, KARANG TENGAH;;;;Terverifikasi Administrasi;2018-09-04
1254;ANTV Banten;Televisi;;;PT;Banten;"Komplek TVRI, kp. Sawah RT.09 RW.01, Kel. Wanagiri, Kec. Saketi, kab. Pandeglang, Prov. Banten
d/h
Jl. Maulana Yusuf No.18, RT.01/03, Kel.Cimuncang, Kec.Serang, Kota Serang, Banten";;;;Terverifikasi Administrasi;2018-09-04
1255;Tara Vision;Televisi;;;PT;Banten;Jl. Wanamulya No.7, Kel. Karangmulya, Kec.Karang Tengah, Kota Tengah, Prov. Banten;;;;Terverifikasi Administrasi;2018-09-04
1256;Matahari TV;Televisi;;;PT;Banten;Jl. H. Cepe No. 58, Rt. 02/ Rw. 03 Pinang, Tangerang;021-73441028;;;Terverifikasi Administrasi;2018-09-04
1257;CTV;Televisi;;;PT;Banten;Jl. Wana Mulya No.7 Karang Mulya, Karang Tengah, Tangerang, Banten;021-73457252;;;Terverifikasi Administrasi dan Faktual;2018-09-04
1258;Vista TV;Televisi;;;PT;Gorontalo;"Jl. Teuku Umar ex. KH.Ahmad Dahlan, Kel. Limba, Kec.Kota Selatan Kota Gorontalo
Pemancar : Jl. Limboto Raya No.58, Kec. Telaga, Kab. Gorontalo";;;;Terverifikasi Administrasi;2018-09-04
1259;ANTV Gorontalo;Televisi;;;PT;Gorontalo;Gedung Media Center, Jl. Sudirman 6, Kel. Dulalowoo Timur, Kec. Kota Tengah, Kota Gorontalo, Prov. Gorontalo d/h Jl. Sudirman No.6, Kel. Dulalowo Timur, Kec. Kota Tengah, Kota Gorontalo;;;;Terverifikasi Administrasi;2018-09-04
1260;Metro TV Gorontalo;Televisi;;;PT;Gorontalo;Jl. Bambu, Kel. Buladu, Kota Barat, Kota Gorontalo, Provinsi Gorontalo;;;;Terverifikasi Administrasi;2018-09-04
1261;Mimoza Channel;Televisi;;;PT;Gorontalo;Jl. KH. Agus Salim No.67, Limba U2, Kota Selatan, Kota Gorontalo;;;;Terverifikasi Administrasi;2018-09-04
1262;Elshinta TV;Televisi;;;PT;Jakarta;"Wisma Indosemen Annex Building Lt. 3, Jl. Jend. Sudirman Kav. 70-71 Kel. Setiabudi, Kec. Setiabudi, Kota Jakarta Selatan, Prov. DKI Jakarta
d/h
Jl. Sudirman No. 20, Kel Birugo, Kec Birugo Tiga Baleh";;;;Terverifikasi Administrasi;2018-09-04
1263;O Channel;Televisi;;;PT;Jakarta;Gedung SCTV Tower '-Senayan City lt. 16, Jl. Asia Afrika Lot.19, Gelora, Tanah Abang;;;;Terverifikasi Administrasi;2018-09-04
1264;Space Toon;Televisi;;;PT;Jakarta;Wisma 46 Kota BNI, 43rd Floor, Setiabudi, Menteng;;;;Terverifikasi Administrasi;2018-09-04
1265;B Channel;Televisi;;;PT;Jakarta;Menara Rajawali lt.7, Mega Kuningan lot 5.1, Kuningan Timur, Setiabudi;;;;Terverifikasi Administrasi;2018-09-04
1266;AN TV;Televisi;;;PT;Jakarta;Jl. HR. Rasuna Said Kav.X 6 No.8, Kelurahan Karet Kuningan, Kecamatan Setiabudi;;;;Terverifikasi Administrasi;2018-09-04
1267;Latv / TV One;Televisi;;;PT;Jakarta;Jl. Rawa Terate II No.2, Kelurahan Jatinegara, Kecamatan Cakung;;;;Terverifikasi Administrasi;2018-09-04
1268;Indosiar;Televisi;;;PT;Jakarta;Jl. Damai No.11, Kel Duri Kepak, Kec. Kebon Jeruk;;;;Terverifikasi Administrasi;2018-09-04
1269;TV7 / Trans 7;Televisi;;;PT;Jakarta;Jl. Kapten Piere Tendean Kav. 12-14A;;;;Terverifikasi Administrasi;2018-09-04
1270;TPI;Televisi;;;PT;Jakarta;Jl. Pintu II TMII, Kel. Lubang Buaya, Kec Cipayung Kota Jakarta timur, DKI Jakarta;021-8750236;;;Terverifikasi Administrasi;2018-09-04
1271;Global TV;Televisi;;;PT;Jakarta;Wisma Indovision Lantai 15, Jl. Raya Panjang Z/III, Kel. Kebon Jeruk, Kec. Kedoya Utara;;;;Terverifikasi Administrasi;2018-09-04
1272;Metro TV;Televisi;;;PT;Jakarta;Jl. Pilar Mas Raya Kav.A-D, Kel. Kedoya, Kec. Kebon Jeruk;;;;Terverifikasi Administrasi;2018-09-04
1273;FMTV;Televisi;;;PT;Jakarta;Gedung Citra Graha Lantai 5 Jalan Jend. Gatot Subroto Kav.35-36 Kelurahan Kuningan Timur, Kec. Setiabudi, Jaksel, 12950;;;;Terverifikasi Administrasi;2018-09-04
1274;M2V;Televisi;;;PT;Jakarta;Jl. Melawai Raya No.7 Jakarta 12160;;;;Terverifikasi Administrasi;2018-09-04
1275;Max3 TV;Televisi;;;PT;Jakarta;Mid Plaza 2 Lantai 8, Jl. Jend. Sudirman Kav. 10-11, Kel. Karet Tengsin, Kec. Tanah Abang, Jakpus 10220;;;;Terverifikasi Administrasi;2018-09-04
1276;Mata Mathla Cable Television;Televisi;;;PT;Jakarta;Rumah Susun Petamburan Blok II Lt. Dasar No. DII.09, Jl. Administrasi Negara, Kel. Petamburan, Kec. Tanah Abang;;;;Terverifikasi Administrasi;2018-09-04
1277;JV Cable;Televisi;;;PT;Jakarta;Jl. Raya Panjang Blok Z/III, Kel. Kedoya Utara, Kec. Kebon Jeruk;;;;Terverifikasi Administrasi;2018-09-04
1278;Dens TV;Televisi;;;PT;Jakarta;Gedung Mangala Wanabakti IV Lt. 9 Jl. Jend. Gatot Subroto, Kel. Glora, Kec. Tanah Abang, Kota Jakarta Pusat, Prov. DKI Jakarta;;;;Terverifikasi Administrasi;2018-09-04
1279;Cablenet Asia;Televisi;;;PT;Jakarta;Gedung Fresh Market Lantai Roof, Jl. Pantai Indah Kapuk Boulevard BGM, Kel. Kamal Muara, Kec. Penjaringan, Jakarta Utara;;;;Terverifikasi Administrasi;2018-09-04
1280;Jakarta Vision;Televisi;;;PT;Jakarta;Jl. Raya Kebayoran Lama No. 12, Kel. Grogol Utara, Kec. Kebayoran Lama;;;;Terverifikasi Administrasi;2018-09-04
1281;Inb Cable;Televisi;;;PT;Jakarta;The Boutiq Office Park B2, Jl. Benjamin Sueb Blok A6, Kemayoran, Jakarta Pusat, DKI Jakarta;;;;Terverifikasi Administrasi;2018-09-04
1282;I-Sky-Net;Televisi;;;PT;Jakarta;Jl. Galeri Niaga Mediterania I Blok E8, Kapuk Muara, Penjaringan Jakarta Utara;;;;Terverifikasi Administrasi;2018-09-04
1283;IM TV;Televisi;;;PT;Jakarta;Ariobimo Sentral Building Lantai 4, Jl. HR. Rasuna Said Blok X-2 No. 5, Setiabudi, Kota Jakarta Selatan, DKI Jakarta,12950;;;;Terverifikasi Administrasi;2018-09-04
1284;Mega Vision;Televisi;;;PT;Jakarta;Jl. Tomang Raya Terusan Kav. 71-73 Graha Sukanda Mulia, Lt.2 Tomang;;;;Terverifikasi Administrasi;2018-09-04
1285;Smart Vision;Televisi;;;PT;Jakarta;Jl. Asia Afrika Pintu IX, Kel. Senayan, Kec. Tanah Abang, Kota Jakarta Pusat;;;;Terverifikasi Administrasi;2018-09-04
1286;Netralnews.com;Siber;;;PT;Jakarta;"Rukan Plaza Sunter Terrace Blok A No. 18
Jl. Danau Sunter Utara Kav. 60 Jakarta Utara";021-29765095;redaksi@netralnews.com;www.netralnews.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1287;Viva Sky;Televisi;;;PT;Jakarta;"Gedung Multivision Tower Lt. 9, Jl. Kuningan Mulia Lot. 9B, Kel. Guntur, Kec. Setiabudi, Kota Jakarta Selatan, Prov. DKI Jakarta
d/h
Jl. HR. Rasuna Said Kav.B-2 (wisma Bakrie 2,Lt.7), Kel. Karet, Kec. Setiabudi, Kota Jakarta Selatan";;;;Terverifikasi Administrasi;2018-09-04
1288;Matrix TV;Televisi;;;PT;Jakarta;Komplek Pergudangan Daan Mogot Prima, Jl. Daan Mogot Raya No.10-BlokA1, Kel. Rawa Buaya, Kec. Cengkareng;;;;Terverifikasi Administrasi;2018-09-04
1289;ELBOX;Televisi;;;PT;Jakarta;Jl. Raya Perjuangan No. 88, Kompleks Graha Kencana Blok AN - AO, Kel. Kebon Jeruk, Kec. Kebon Jeruk, Jakarta Barat, DKI Jakarta;;;;Terverifikasi Administrasi;2018-09-04
1290;Mega Vision/Orange TV;Televisi;;;PT;Jakarta;JL.TOMANG RAYA TERUSAAN KAV.71 '-73 GRAHA SUKANDA MULIA,LT.2 TOMANG;;;;Terverifikasi Administrasi;2018-09-04
1291;TOPAS TV;Televisi;;;PT;Jakarta;Mayapada Tower Lt.16 Jl. Jend. Sudirman Kav.28, Kel. Karet, Kec. Setiabudi, Jaksel, DKI jkt;;;;Terverifikasi Administrasi;2018-09-04
1292;SKY LBS TV;Televisi;;;PT;Jakarta;The Bellezza Office Tower Lt.23, Jl.LetJen Soepeno (Arteri Permata Hijau) No.34, Grogol Utara, Kebayoran Lama, Jakarta Selatan, Indonesia 12210;;;;Terverifikasi Administrasi;2018-09-04
1293;K Vision;Televisi;;;PT;Jakarta;Jl. Panjang No.8A, Kel. Kebon Jeruk, Kec. Kebon Jeruk, Kota Jakarta Barat, Prov. DKI Jakarta;;;;Terverifikasi Administrasi;2018-09-04
1294;cumi-cumi.com;Siber;;;PT;Jakarta;Jl. Caringin Barat Kav. 10 Jaksel 12430;021-75903206;advertise@cumicumi.com;www.cumi-cumi.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1295;Oke Vision;Televisi;;;PT;Jakarta;Jl. Kebon Sirih No.17-19, Kelurahan Kebon Sirih, Kecamatan Menteng;;;;Terverifikasi Administrasi;2018-09-04
1296;Telkom Vision;Televisi;;;PT;Jakarta;Jl. Prof. DR. Supomo SH No. 139, kelurahan Tebet Barat, Kecamatan Tebet, Kota Jakarta Selatan, Provinsi DKI Jakarta 12810;;;;Terverifikasi Administrasi;2018-09-04
1297;LKBN ANTARA;Televisi;;;PT;Jakarta;"Wisma Antara Lt.19
Jl. Merdeka Selatan No. 17
Jakarta Pusat";(021) 3802383;newsroom@antaranews.com;;Terverifikasi Administrasi dan Faktual;2018-09-04
1298;RCTI;Televisi;;;PT;Jakarta;Jl. Kebon Sirih No. 21-27 Jakarta Pusat 10340 Indonesia;021-29709700;corsec.mnc-corporation@mncgroup.com;www.mncgroup.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1299;Global TV;Televisi;;;PT;Jakarta;"GlobalTV Building, MNC Studio
Jl. Lapangan Bola, Kebon Jeruk
Jakarta 11520";021-29709700;corsec.mnc-corporation@mncgroup.com;www.mncgroup.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1300;iNEWS TV;Televisi;;;PT;Jakarta;Jl. Kebon Sirih No. 21-27 Jakarta Pusat 10340;021-29709700;corsec.mnc-corporation@mncgroup.com;www.mncgroup.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1301;SCTV;Televisi;;;PT;Jakarta;"SCTV Tower - Senayan City
Jl. Asia Afrika Lot 19, Jakarta 10270";(021) 27935555;;www.sctv.co.id;Terverifikasi Administrasi dan Faktual;2018-09-04
1302;Indosiar;Televisi;;;PT;Jakarta;"Jl. Damai No. 11 daan Mogot,
Jakarta 11510";021-567-2222;;www.indosiar.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1303;viva.co.id;Siber;;;PT;Jakarta;"Kawasan Industri Pulogadung, Gedung tvOne
Jl. Rawa Terate II No.2
Jakarta Timur 13260";021-4601 326;redaksi@viva.co.id;www.viva.co.id;Terverifikasi Administrasi dan Faktual;2018-09-04
1304;okezone.com;Siber;;;PT;Jakarta;Gedung MNC News Center Lt.12 K.H Wahid Hadsyim No.36-38 Menteng Kota Jakarta Pusat 10340;021-3924706;radaksi.okezone@mncgroup.com;www.okezone.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1305;Radio KBR;Radio;;;PT;Jakarta;Jl. Hos Cokroaminoto 91 , Menteng â€“ Jakarta Pusat;021-22392426;;www.kbr.id;Terverifikasi Administrasi dan Faktual;2018-09-04
1306;Sindo Trijaya FM;Televisi;;;PT;Jakarta;MNC News Center Lt.5 , Jl.K.H Wahid Hasyim No.28 Kel.Kebon Serih Kec.Menteng , Jakarta Pusat;021-3921717;redaksi@sindotrijaya.com;;Terverifikasi Administrasi dan Faktual;2018-09-04
1307;RRI;Televisi;;;PT;Jakarta;Jl. Medan Merdeka Barat 4-5, RT.2/RW.3 Jakarta Pusat;021-3523174;pro3jaringan@gmail.com;;Terverifikasi Administrasi dan Faktual;2018-09-04
1308;Berita Satu News Channel;Televisi;;;PT;Jakarta;Beritasatu Plasa Lantai 9, Jl. Jend Gatot Subroto Kav 35-36;021-29957500;;;Terverifikasi Administrasi dan Faktual;2018-09-04
1309;Investor;Cetak;;;PT;Jakarta;Jln.Jend.Gatot.Subroto Kav 35-36;021-29957500;;;Terverifikasi Administrasi dan Faktual;2018-09-04
1310;Kompas TV;Televisi;;;PT;Jakarta;Jln.Palmerah Selatan No.1 Kel.Gelora Kec.Tanah Abang, Jakarta Pusat;021- 5365 4898;public.relations@kompas.tv;www.kompas.tv;Terverifikasi Administrasi dan Faktual;2018-09-04
1311;rmol.co;Siber;;;PT;Jakarta;Graha Pena, Lt. 9, Jalan Raya Kebayoran Lama No. 12, Jakarta Selatan;021-5348460;keranjangrmol@gmail.com;www.rmol.co;Terverifikasi Administrasi dan Faktual;2018-09-04
1312;arah.com;Siber;;;PT;Jakarta;Jl. Metro Pondok Indah TA 10 No. 29, Pondok Indah, Jakarta Selatan;021-7654187;;www.arah.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1313;TVRI;Televisi;;;PT;Jakarta;Gedung TVRI Lt. Dasar, Jl. Gerbang Pemuda, Tanah Abang, RT.1/RW.3, Gelora, Kota Jakarta Pusat, DKI Jakarta;(021) 5735151;;;Terverifikasi Administrasi dan Faktual;2018-09-04
1314;obsessionnews.com;Siber;;;PT;Jakarta;Jl. Kedondong No. 161 Jagakarsa, Jaksel;021-29436102;redaksi@obsessionnews.com;www.obsessionnews.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1315;dream.co.id;Siber;;;PT;Jakarta;"Jl. Tebet Barat IV No.5
Jakarta Selatan, 12810";0218379 52 45;redaksi@dream.co.id;www.dream.co.id;Terverifikasi Administrasi dan Faktual;2018-09-04
1316;uzone.id;Siber;;;PT;Jakarta;Jl. MT. HaryonoKav 58 â€“ 60, Pancoran, Jakarta Selatan;021 - 79187250;redaksi@uzone.id;www.uzone.id;Terverifikasi Administrasi dan Faktual;2018-09-04
1317;IN TV;Televisi;;;PT;Jakarta;Jl. Balikpapan Raya no.28 C-D, Jakarta;021-6348057;information@intv.id;;Terverifikasi Administrasi;2018-09-04
1318;Rilis.id;Siber;;;PT;Jakarta;Jl. Pejaten Raya No. 33 E Jatipadang, Jakarta Selatan;021-84984878;redaksi@rilis.id;www.rilis.id;Terverifikasi Administrasi dan Faktual;2018-09-04
1319;Men's Obsession;Cetak;;;PT;Jakarta;Jl. Kedondong No. 161 Jagakarsa, Jaksel;021-29436102;redaksi@obsessionnews.com;;Terverifikasi Administrasi dan Faktual;2018-09-04
1320;bintang.com;Siber;;;PT;Jakarta;Jl. RP Soeroso No. 18 Menteng Jakpus;021-3190 4555;redaksibintangdotcom@gmail.com;www.bintang.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1321;DAAI TV;Televisi;;;PT;Jakarta;"Tzu Chi Center, Tower 2
Jl. Boulevard Pantai Indah Kapuk
Jakarta Utara 14470, Indonesia";021-5055 8889;info@daaitv.co.id;;Terverifikasi Administrasi;2018-09-04
1322;suara.com;Siber;;;PT;Jakarta;"jl. Sisingamangaraja No. 21
Kebayoran Baru, Jakarta Selatan";021 - 7241888;redaksi@suara.com;www.suara.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1323;tribunnews.com;Siber;;;PT;Jakarta;"Gedung Group of Regional Newspaper Kompas Gramedia, Jl Palmerah Selatan No 3, Jakarta Pusat
Telp. 021-5359525-23";021-5359525;redaksi@tribunnews.com;www.tribunnews.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1324;Jek TV;Televisi;;;PT;Jambi;Jl. Kapt. Pattimura No.35 KM.08, Kec. Alam Barajo, Kenali Besar Kota Jambi;0741 66396;tvlokaljambi@jektv.co.id;www.jektv.co.id;Terverifikasi Administrasi dan Faktual;2018-09-04
1325;tribunjambi.com;Siber;;;PT;Jambi;Jl. Prof. Dr. M. Yamin No.06 RT 32 Kel. Lebak Bandung, Kec. Jelutung;0741 7551755;redaksi@tribunjambi.com;www.tribunjambi.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1326;jamberita.com;Siber;;;PT;Jambi;Jl. Perum Mutiara Mayang Blok I No 4 RT 34 Kel. Mayang Mangurai Kec. Aalam Barajo;0741-3067187;jamberita.com@gmail.com;www.jamberita.com;Terverifikasi Administrasi dan Faktual;2018-09-04
1327;Garuda Vision TV;Televisi;;;PT;Jawa Barat;Jl. Moch. Ramdan No. 49 A, Kel. Cigereleng, Kec. Regot, Kota Bandung, Provinsi Jawa Barat 40255;;;;Terverifikasi Administrasi;2018-09-04
1328;B-Channel;Televisi;;;PT;Jawa Barat;Kp. Pemeceulan, RT.04/RW. 06, Desa Sukajaya, Kec. Lembang, Kab. Bandung Barat, Prov. Jawa Barat;;;;Terverifikasi Administrasi;2018-09-04
1329;TV Urang Bogor;Televisi;;;PT;Jawa Barat;Jl. Surya Kencana No. 228 '-230, Gudang, Bogor Tengah;;;;Terverifikasi Administrasi;2018-09-04
1330;Dian TV;Televisi;;;PT;Jawa Barat;Jl. Siliwangi km.31, RT.03/01, Kel. Mekarsari, Kec. Cicurug;;;;Terverifikasi Administrasi;2018-09-04
1331;Kompas TV Jabar d/h STV Bandung;Televisi;;;PT;Jawa Barat;"Alamat Baru: LL. RE. Martadinata (Jl. Riau) Lt. 3 No. 46 Kel. Citarum, Kec. Sumur Bandung, Bandung, Jawa Barat
Alamat Lama: Sentrasari Mall Blok.B4, No.68-69, Kec. Sukagalih, Kec. Sukajadi";;;;Terverifikasi Administrasi;2018-09-04
1332;Jatiluhur Televisi;Televisi;;;PT;Jawa Barat;Jl. Kapten Ismail No. 9, Kel. Sindangkasih, Kec. Jatiluhur;;;;Terverifikasi Administrasi;2018-09-04
1333;TV Anak Garut;Televisi;;;PT;Jawa Barat;Jl. Raya Dangiang, Desa Dangiang, Kec. Cilawu;;;;Terverifikasi Administrasi;2018-09-04
1334;TV Anak Bandung;Televisi;;;PT;Jawa Barat;Jl. Gandrung-Kol. Masturi, Kel. Jambudipa, Kec. Cisarua, Kab. Bandung Barat, Provinsi Jawa Barat 40551;;;;Terverifikasi Administrasi;2018-09-04
1335;IMTV;Televisi;;;PT;Jawa Barat;Jl. Terusan Prof. DR. Ir. Sutami, Komp. Setrasari Mall Blok C-3 No. 9/35, Kel. Sukagalih, Kec. Sukajadi, Kota Bandung, Prov. Jawa Barat 40164;;;;Terverifikasi Administrasi;2018-09-04
1336;Indosiar Bandung;Televisi;;;PT;Jawa Barat;Jl. Raya Banjaran KM. 10, Gang Saluyu No. 117, Kel. Andir, Kec. Bale Endah, Kab. Bandung;;;;Terverifikasi Administrasi;2018-09-04
1337;GTV;Televisi;;;PT;Jawa Barat;Jl. Sentrasari Mall Blok C3 No.9, Kel. Sukagalih, Kec. Sukajadi;;;;Terverifikasi Administrasi;2018-09-04
1338;ANTV Bandung;Televisi;;;PT;Jawa Barat;Kampung Gandrung No.99 RT.002/RW.010, Kel. Jambudipa, Kec. Cisarua, Kab. Bandung;;;;Terverifikasi Administrasi;2018-09-04
1339;Trans TV Bandung;Televisi;;;PT;Jawa Barat;Jl. Terusan Kolonel Masturi 002/010, Kp. Gandrung, Desa Jambudipa, Kec. Cisarua, Kab. Bandung Barat;;;;Terverifikasi Administrasi;2018-09-04
1340;Metro TV Jabar;Televisi;;;PT;Jawa Barat;;;;;Terverifikasi Administrasi;2018-09-04
1341;Fasindo TV Kabel;Televisi;;;PT;Jawa Barat;Jl. Raya Caringin No.439D, Kel. Babakan, Kec. Babakan Ciparay;;;;Terverifikasi Administrasi;2018-09-04
1342;Megavision;Televisi;;;PT;Jawa Barat;Jl. Bangau No.2-4 RT.05/03, Kel. Tanah Sareal, Kec. Tanah Sareal;;;;Terverifikasi Administrasi;2018-09-04
1343;Sufia TV;Televisi;;;PT;Jawa Barat;Jl. Terusan Buah Batu 38-42, Bandung;;;;Terverifikasi Administrasi;2018-09-04
1344;PR Radio;Radio;;;PT;Jawa Barat;Jl. Braga No. 05 Kel. Braga, Kec Sumur Bandung;022-4221400;prfmradio1075@gmail.com;;Terverifikasi Administrasi dan Faktual;2018-09-04
1345;Inspira TV;Televisi;;;PT;Jawa Barat;Jl. Rancabolang No. 9 Bandung;022-87301568;welcome@inspira.tv;;Terverifikasi Administrasi;2018-09-04
1346;Badar TV;Televisi;;;PT;Jawa Barat;Jl. Cikarang Baru No. 31 Cikarang Utara Kab Bekasi;021-89844550;news.badartv@gmail.com;;Terverifikasi Administrasi;2018-09-04
1347;STV;Televisi;;;PT;Jawa Tengah;Jl. Dr. Rajiman No.28, Kel. Tegalsari Bumi, Kec. Laweyan, Kota Surakarta, Prov. Jawa Tengah;;;;Terverifikasi Administrasi;2018-09-04
1348;Semarang TV;Televisi;;;PT;Jawa Tengah;Jl. Bukit Puncak II No.8, Kel. Ngresep, Kec. Banyumanik;;;;Terverifikasi Administrasi;2018-09-04
1349;Kompas TV Jawa Tengah d/h btv;Televisi;;;PT;Jawa Tengah;Jl. Agus Salim Gedung SCJ Plaza Lt. 5 & 6, Kauman, Semarang Tengah;;;;Terverifikasi Administrasi;2018-09-04
1350;MG TV;Televisi;;;PT;Jawa Tengah;"Kantor dan Studio : Metrosquare Blok B No.18-19, Jl. Mayjen Bambang Soegeng, Kel. Sumberrejo, Kec. Metroyudan, Kota Magelang
Pemancar : Jl. Beringin I No.29, Tidar Krajan RT.01 RW.05, Kec. Magelang Selatan, Kota Magelang";;;;Terverifikasi Administrasi;2018-09-04
1351;Future Media TV (SM TV);Televisi;;;PT;Jawa Tengah;Jl. Pandanaran 30, Pekunden, Kec. Semarang Tengah;;;;Terverifikasi Administrasi;2018-09-04
1352;TV Ku;Televisi;;;PT;Jawa Tengah;Jl. Nakula I No.5-11, Pindrikan Kidul, Semarang Tengah;;;;Terverifikasi Administrasi;2018-09-04
1353;BMS TV;Televisi;;;PT;Jawa Tengah;GD.BSI, Jl. HR. Bunyamin 106, Kel. Pabuaran, Kec. Purwokerto Utara;;;;Terverifikasi Administrasi;2018-09-04
1354;Tanah Liat TV;Televisi;;;PT;Jawa Tengah;Jl. Jendral Sudirman 54, Kel. Pangenjuru Tengah, Kec. Purworejo, Kab. Purworejo;;;;Terverifikasi Administrasi;2018-09-04
1355;Kartika TV;Televisi;;;PT;Jawa Tengah;Jl. Dr. Wahidin-Ruko Saiza No.15-16, Kel. Pati, Kec. Pati;;;;Terverifikasi Administrasi;2018-09-04
