"Bab";"Topik";"Pasal";"Deskripsi"
"Bab XXIX";"Kejahatan Penerbangan Dan Kejahatan Terhadap Sarana/Prasarana";"Pasal 479n";"Barang siapa dengan sengaja dan melawan hukum menempatkan atau menyebabkan 
ditempatkannya di dalam pesawat udara dalam dinas, dengan cara apa pun, alat 
atau bahan yang dapat menghancurkan pesawat udara atau menyebabkan kerusakan 
pesawat udara tersebut yang membuatnya tidak dapat terbang atau menyebabkan 
kerusakan pesawat udara tersebut yang dapat membahayakan keamanan dalam 
penerbangan, dipidana dengan pidana penjara selama-lamanya lima belas tahun. 
"
"Bab XXIX";"Kejahatan Penerbangan Dan Kejahatan Terhadap Sarana/Prasarana";"Pasal 479o";"(1) Dipidana dengan pidana penjara seumur hidup atau pidana penjara 
selama-lamanya dua puluh tahun apabila perbuatan dimaksud pasal 479 huruf l, 
pasal 479 huruf m, dan pasal 479 huruf n itu: 
a dilakukan oleh dua orang atau lebih bersama-sama; 
b. sebagai kelanjutan dari permufakatan jahat; 
c. dilakukan dengan direncanakan lebih dahulu; 
d. mengakibatkan luka berat bagi seseorang;
(2) Jika perbuatan itu mengakibatkan matinya seseorang atau hancurnya pesawat 
udara itu, dipidana dengan pidana mati atau pidana penjara seumur hidup atau 
pidana penjara selamalamanya dua puluh tahun. 
"
"Bab XXIX";"Kejahatan Penerbangan Dan Kejahatan Terhadap Sarana/Prasarana";"Pasal 479";"Barang siapa memberikan keterangan yang diketahuinya adalah palsu dan karena 
perbuatan itu membahayakan keamanan pesawat udara dalam penerbangan, dipidana 
dengan pidana penjara selama-lamanya lima belas tahun. 
"
"Bab XXIX";"Kejahatan Penerbangan Dan Kejahatan Terhadap Sarana/Prasarana";"Pasal 479";"Barang siapa di dalam pesawat udara, melakukan perbuatan yang dapat membahayakan 
keamanan dalam pesawat udara dalam penerbangan, dipidana dengan pidana penjara 
selama-lamanya lima tahun. 
"
"Bab XXIX";"Kejahatan Penerbangan Dan Kejahatan Terhadap Sarana/Prasarana";"Pasal 479";"Barang siapa di dalam pesawat udara melakukan perbuatan-perbuatan yang dapat 
mengganggu ketertiban dan tata-tertib di dalam pesawat udara dalam penerbangan, 
dipidana penjara selama-lamanya satu tahun.
"
"Bab XXX";"Penadahan Penerbitan Dan Percetakan";"Pasal 480";"Diancam dengan pidana penjara paling lama empat tahun atau pidana denda paling 
banyak sembilan ratus rupiah: 
1. barang siapa membeli, menyewa, menukar, menerima gadai, menerima hadiah, atau 
untuk menarik keuntungan, menjual, menyewakan, menukarkan, menggadaikan, 
mengangkut, meyimpan atau menyembunyikan sesuatu benda, yang diketahui atau 
sepatutnya. harus diduga bahwa diperoleh dari kejahatan penadahan; 
2. barang siapa menarik keuntungan dari hasil sesuatu benda, yang diketahuinya 
atau sepatutnya harus diduga bahwa diperoleh dari kejahatan. 
"
"Bab XXX";"Penadahan Penerbitan Dan Percetakan";"Pasal 481";"(1) Barang siapa menjadikan sebagai kebiasaan untuk sengaja membeli, menukar, 
menerima gadai, menyimpan, atau menyembunyikan barang yang diperoleh dari 
kejahatan, diancam dengan pidana penjara paling lama tujuh tahun. 
(2) Yang bersalah dapat dicabut haknya berdasarkan pasal 35 no. 1 - 4 dan haknya 
untuk melakukan pencarian dalam mana kejahatan dilakukan. 
"
"Bab XXX";"Penadahan Penerbitan Dan Percetakan";"Pasal 482";"Perbuatan sebagaimana dirumuskan dalam pasal 480, diancam karena penadahan 
ringan dengan pidana penjara paling lama tiga bulan atau pidana denda paling 
banyak sembilan ratus rupiah, jika kejahatan dari mana benda tersebut diperoleh 
adalah salah satu kejahatan yang dirumuskan dalam pasal 364, 373, dan 379. 
"
"Bab XXX";"Penadahan Penerbitan Dan Percetakan";"Pasal 483";"Barang siapa menerbitkan sesuatu tulisan atau sesuatu gambar yung karena 
sifatnya dapat diancam dengan pidana, diancam dengan pidana penjnra paling lama 
satu tahun empat bulan atau pidana kurungan paling lama satu tahun atau pidana 
denda paling banyak empat ribu lima ratus rupiah, jika: 
l. si pelaku tidak diketahui namanya dan juga tidak diberitahukan namanya oleh 
penerbit pada peringatan pertama sesudah penuntutan berjalan terhadapnya; 
2. penerbit sudah mengetahui atau pat,ut menduga hahwa pada waktu tulisan atau 
gambar itu diterbitkan, si pelaku itu tak dapat dituntut atau akan menetap di 
luar Indonesia. 
"
"Bab XXX";"Penadahan Penerbitan Dan Percetakan";"Pasal 484";"Barang siapa mencetak tulisan atau gambar yang merupakan perbuatan pidana, 
diancam dengan pidana paling lama satu tahun empat bulan atau pidana kurungan 
paling lama satu tahun atau pidana denda paling banyak empat ribu lima ratus 
rupiah, jika: 
1. orang yang menyuruh mencetak barang tidak diketahui, dan setelah ditentukan 
penuntutan, pada teguran pertama tidak diberitahukan olehnya; 
2. pencetak mengetahui atau seharusnya renduga bahwa orang yang menyuruh 
mencetak pada saat penerbitan, tidak dapat dituntut atau menetap di luar 
Indonesia. 
"
"Bab XXX";"Penadahan Penerbitan Dan Percetakan";"Pasal 485";"Jika sifat tulisan atau gamhar merupakan kejahatan yang hanya dapat dituntut 
atas pengaduan, maka penerbit atau pencetak dalam kedua pasal di atas hanya 
dituntut atas pengaduan orang yang terkena kejahatan itu.
Buku Ketiga - Pelanggaran
Daftar Isi
  Baab I - Tentang Pelanggaran Keamanan Umum bagi Orang atau Barang dan Kesehatan 

  Baab II - Pelanggaran Ketertiban Umum 
  Baab III - Pelanggaran Terhadap Penguasa Umum 
  Baab IV - Pelanggaran Mengenai Asal-Usul dan Perkawinan 
  Baab V - Pelanggaran Terhadap Orang yang Memerlukan Pertolongan 
  Baab VI - Pelanggaran Kesusilaan 
  Baab VII - Pelanggaran Mengenai Tanah, Tanaman dan Pekarangan 
  Baab VIII - Pelanggaran Jabatan 
  Baab IX - Pelanggaran Pelayaran 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 489";"(1) Kenakalan terhadap orang atau barang yang dapat menimbulkan bahaya, kerugian 
atau kesusahan, diancam dengan pidana denda paling banyak dua ratus dua puluh 
lima rupiah. 
(2) Jika ketika melakukan pelanggaran belum lewat satu tahun sejak adanya 
pemidanaan yang menjadi tetap karena pelanggaran yang sama, pidana denda dapat 
diganti dengan pidana kurungan paling lama tiga hari. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 490";"Diancam dengan pidana kurungan paling lama enam hari, atau pidana denda paling 
banyak tiga ratus rupiah: 
1. barang siapa menghasut hewan terhadap orang atau terhadap hewan yang sedang 
ditunggangi, atau dipasang di muka kereta atau kendaraan, atau sedang memikul 
muatan: 
2. barang siapa tidak mencegah hewan yang ada di bawah penjagaannya, bilamana 
hewan itu menyerang orang atau hewan yang lagi ditunggangi atau dipasang di muka 
kereta atau kendaraan, atau sedang memikul muatan: 
3. barang siapa tidak menjaga secukupnya binatang buas yang ada di bawah 
penjagaannya, supaya tidak menimbulkan kerugian; 
4. barang siapa memelihara binatang buas yang berbahaya tanpa melaporkan kepada 
polisi atau pejabat lain yang ditunjuk untuk itu, atau tidak menaati peraturan 
yang diberikan oleh pejabat tersebut tentang hal itu. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 491";"Diancam dengan pidana denda paling banyak tujuh ratus lima puluh rupiah: 
1. barang siapa diwajibkan menjaga orang gila yang berbahaya bagi dirinya 
sendiri maupun orang lain, membiarkan orang itu berkeliaran tanpa dijaga; 
2. barang siapa diwajibkan menjaga seorang anak, meninggalkan anak itu tanpa 
dijaga sehingga oleh karenanya dapat timbul bahaya bagi anak itu atau orang 
lain. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 492";"(1) Barang siapa dalam keadaan mabuk di muka umum merintangi lalu lintas, atau 
mengganggu ketertiban, atau mengancam keamanan orang lain, atau melakukan 
sesuatu yang harus dilakukan dengan hati-hati atau dengan mengadakan tindakan 
penjagaan tertentu lebih dahulu agar jangan membahayakan nyawa atau kesehatan 
orang lain, diancam dengan pidana kurungan paling lama enam hari, atau pidana 
denda paling banyak tiga ratus tujuh puluh lima rupiah. 
(2) Jika ketika melakukan pelanggaran belum lewat satu tahun sejak adanya 
pemidanaan yang menjadi tetap karena pelanggaran yang sama, atau karena hal yang 
dirumuskan dalam pasal 536, dijatuhkan pidana kurungan paling lama dua minggu. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 493";"Barang siapa secara melawan hukum di jalan umum membahayakan kebebasan bergerak 
orang lain, atau terus mendesakkan dirinya bersama dengan seorang atau lebih 
kepada orang lain yang tidak menghendaki itu dan sudah tegas dinyatakan, atau 
mengikuti orang lain secara mengganggu, diancam dengan pidana denda paling 
banyak seribu lima ratus rupiah. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 494";"Diancam dengan pidana denda paling banyak tiga ratus tujuh puluh lima rupiah: 
1. barang siapa tidak mengadakan penerangan secukupnya dan tanda-tanda menurut 
kebiasaan pada penggalian atau menumpukkan tanah di jalan umum, yang dilakukan 
oleh atau atas perintahnya, atau pada benda yang ditaruh di situ oleh atau atas 
perintahnya; 
2. barang siapa tidak mengadakan tindakan seperlunya pada waktu melakukan suatu 
pekerjaan di atas atau dipinggir jalan umum untuk memberi tanda bagi yang lalu 
di situ, bahwa ada kemungkinan bahaya; 
3. barang siapa menaruh atau menggantungkan sesuatu di atas suatu bangunan, 
melempar atau menuangkan ke luar dari situ sedemikian rupa hingga oleh karena 
itu dapat timbul kerugian pada orang yang sedang menggunakan jalan umum; 
4. barang siapa membiarkan di jalan umum, hewan untuk dinaiki, untuk menarik 
atau hewan muatan tanpa mengadakan tindakan penjagaan agar tidak menimbulkan 
kerugian; 
5. barang siapa membiarkan ternak berkeliaran di jalan umum tanpa mengadakan 
tindakan penjagaaan, agar tidak menimbulkan kerugian; 
6. barang siapa tanpa izin penguasa yang berwenang, menghalangi sesuatau jalanan 
untuk umum di darat maupun di air atau menimbulkan rintangan karena pemakaian 
kendaraan atau kapal yang tidak semestinya. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 495";"(1) Barang siapa tanpa izin kepala polisi atau pejabat yang ditunjuk untuk itu, 
di tempat yang dilalui orang memasang ranjau perangkap, jerat, atau perkakas 
lain untuk menangkap atau membunuh binatang buas, diancam dengan pidana denda 
paling banyak tiga ratus tujuh puluh lima rupiah. 
(2) Jika ketika melakukan pelanggaran belum lewat satu tahun sesudah adanya 
pemidanaan yang menjadi tetap karena pelanggaran yang sama, pidana denda dapat 
diganti dengan pidana kurungan paling lama enam hari. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 496";"Barang siapa tanpa izin kepala polisi atau pejabat yang ditunjuk untuk itu, 
membakar barang tak bergerak kepunyaan sendiri, diancam dengan pidana denda 
paling tinggi tujuh ratus lima puluh rupiah. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 497";"Diancam dengan pidana denda paling tinggi tiga ratus tujuh puluh lima rupiah: 
1. barang siapa di jalan umum atau di pinggirnya, ataupun di tempat yang 
sedemikian dekatnya dengan bangunan atau barang, hingga dapat timbul bahaya 
kebakaran, menyalakan api tanpa perlu menembakkan senjata api; 
2. barang siapa melepaskan balon angin di mana digantungkan bahan-bahan menyala. 

"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 498 dan";"Ditiadakan berdasarkan S. 32 - 143 jo. 33 - 9. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 500";"Barang siapa tanpa izin kepala polisi atau pejabat yang ditunjuk untuk itu, 
membikin obet ledak, mata peluru atau peluru untuk senjata api, diancam dengan 
pidana kurungan paling lama sepuluh hari atau pidana denda paling banyak tujuh 
ratus lima puluh rupiah. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 501";"(1) Diancam dengan pidana denda paling banyak tiga ratus tujuh puluh lima 
rupiah: 
1. barang siapa menjual, menawarkan, menyerahkan, membagikan atau mempunyai 
persediaan untuk dijual atau dibagikan, barang makanan atau minuman yang dipalsu 
atau yang busuk, ataupun air susu dari ternak yang sakit atau yang dapat 
mengganggu kesehatan; 
2. barang siapa tanpa izin kepala polisi atau pejabat yang ditunjuk untuk itu, 
menjual, menawarkan, menyerahkan, membagikan daging ternak yang dipotong karena 
sakit atau mati dengan sendirinya. 
(2) Jika ketika melakukan pelanggaran belum lewat dua tahun setelah ada 
pemidanaan yang menjadi tetap karena pelanggaran yang sama, pidana denda dapat 
diganti dengan pidana kurungan paling lama enam hari. 
"
"Bab I";"Tentang Pelanggaran Keamanan Umum Bagi Orang Atau Barang Dan Kesehatan";"Pasal 502";"(1) Barang siapa tanpa izin penguasa yang berwenang untuk itu, memburu atau 
membawa senjata api ke dalam hutan negara di mana dilarang untuk itu tanpa izin, 
diancam dengan pidana kurungan paling lama satu bulan atau pidana denda paling 
banyak tiga ribu rupiah; 
(2) Binatang yang ditangkap atau ditembak serta perkakas dan senjata yang 
digunakan dalam pelanggaran, dapat dirampas.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 503";"Diancam dengan pidana kurungan paling lama tiga hari atau pidana denda paling 
banyak dua ratus dua puluh lima rupiah:
1. barang siapa membikin ingar atau riuh, sehingga ketentraman malam hari dapat 
terganggu;
2. barang siapa membikin gaduh di dekat bangunan untuk menjalankan ibadat yang 
dibolehkan atau untuk sidang pengadilan, di waktu ada ibadat atau sidang.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 504";"(1) Barang siapa mengemis di muka umum, diancam karena melakukan pengemisan 
dengan pidana kurungan paling lama enam minggu.
(2) Pengemisan yang dilakukan oleh tiga orang atau lebih, yang berumur di atas 
enam belas tahun, diancam dengan pidana kurungan paling lama tiga bulan.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 505";"melakukan pergelandangan dengan pidana kurungan paling lama tiga bulan.
(2) Pergelandangan yang dilakukan oleh tiga orang atau lebih, yang berumur di 
atas enam belas tahun diancam dengan pidana kurungan paling lama enam bulan.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 506";"Barang siapa menarik keuntungan dari perbuatan cabul seorang wanita dan 
menjadikannya sebagai pencarian, diancam dengan pidana kurungan paling lama satu 
tahun.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 507";"Diancam dengan pidana denda paling banyak dua ribu dua ratus lima puluh rupiah:
1. barang siapa tanpa wenang memakai suatu gelar ningrat, atau suatu tanda 
kehormatan Indonesia;
2. barang siapa tanpa izin Presiden, manakala itu diperlukan, menerima suatu 
tanda kehormatan, gelar, pangkat atau derajat asing;
3. barang siapa ketika ditanya oleh penguasa yang berwenang tentang namanya, 
memberi nama yang palsu.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 508";"Barang siapa tanpa wenang memakai dengan sedikit penyimpangan suatu nama atau 
tanda jasa yang pemakaiannya menurut ketentuan undang-undang, semata-mata untuk 
suatu perkumpulan atau personal perkumpulan, atau personal dinas kesehatan 
tentara, diancam dengan pidana kurungan paling lama satu bulan atau pidana denda 
paling banyak empat ribu lima ratus rupiah.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 508 bis";"Barang siapa di muka umum tanpa wenang memakai pakaian yang menyamai pakaian 
jabatan yang ditetapkan untuk pegawai negeri atau pejabat yang bekerja pada 
negara, pada suatu provinsi, pada suatu daerah yang berdiri sendiri yang diakui 
atau yang diatur dengan undang-undang sehingga patut ia dapat dipandang orang 
sebagai pegawai atau pejabat itu, diancam dengan pidana kurungan paling lama 
satu bulan atau pidana denda paling banyak empat ribu lima ratus rupiah.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 509";"Barang siapa tanpa izin meminjamkan uang atau barang dengan gadai, atau dalam 
bentuk jual-beli dengan boleh dibeli kembali ataupun dalam bentuk kontrak 
komisi, yang nilainya tidak lebih dari seratus rupiah, diancam dengan pidana 
kurungan paling lama tiga bulan, atau pidana denda paling banyak lima belas ribu 
rupiah.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 510";"(1) Diancam dengan pidana denda paling banyak tiga ratus tujuh puluh lima 
rupiah, barang siapa tanpa izin kepala polisi atau pejabat lain yang ditunjuk 
untuk itu:
1. mengadakan pesta lain yang ditunjuk untuk itu:
2. mengadakan arak-arakan di jalan umum.
(2) Jika arak-arakan diadakan untuk menyatakan keinginan-keinginan secara 
menakjubkan, yang bersalah diancam dengan pidana kurungan paling lama dua minggu 
atau pidana denda dua ribu dua ratus lima puluh rupiah.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 511";"Barang siapa di waktu ada pesta arak-arakan, dan sebagainya, tidak menaati 
perintah dan petunjuk yang diadakan oleh polisi untuk mencegah kecelakaan oleh 
kemacetan lalu lintas di jalan umum, diancam dengan pidana denda paling banyak 
tiga ratus tujuh puluh lima rupiah.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 512";"(1) Barang siapa tidak diwenangkan melakukan pencarian yang menurut 
aturan-aturan umum harus diberi kewenangan untuk itu, melakukannya tanpa 
keharusan, diancam dengan pidana denda paling banyak empat ribu lima ratus 
rupiah.
(2) Barang siapa diwenangkan melakukan pencarian yang menurut aturan-aturan umum 
harus diberi kewenangan untuk itu, dalam melakukan pencarian tersebut tanpa 
keharusan melampaui batas kewenangannya, diancam dengan pidana denda paling 
banyak tujuh ratus lima puluh rupiah.
(3) Jika ketika melakukan pelanggaran belum lewat dua tahun sejak adanya 
pemidanaan yang menjadi tetap karena pelanggaran yang sama, maka dalam hal ayat 
pertama, pidana denda dapat diganti dengan pidana kurungan paling lama dua 
bulan, dan dalam hal ayat kedua, paling lama satu bulan.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 512a";"Barang siapa sebagai mata pencarian, baik khusus maupun sebagai sambilan 
menjalankan pekerjaan dokter atau dokter gigi dengan tidak mempunyai surat izin, 
di dalam keadaan yang tidak memaksa, diancam dengan pidana kurungan paling lama 
dua bulan atau pidana denda setinggi-tingginya seratus lima puluh ribu rupiah.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 513";"Barang siapa menggunakan atau membolehkan digunakan barang orang lain yang ada 
padanya karena ada hubungan kerja atau karena pencariannya, untuk pemakaian yang 
tidak diizinkan oleh pemiliknya, diancam dengan pidana kurungan paling lama enam 
hari atau pidana denda paling banyak tiga ratus tujuh puluh lima rupiah.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 514";"Seorang pekerja harian, pembawa bungkusan, pesuruh, pemikul atau kuli, yang 
dalam menjalankan pencariannya melakukan kelalaian atau kekurangan dalam 
pengembalian perkakas yang diterima untuk dipakai, atau dalam penyampaian barang 
yang diterima untuk diangkut, diancam dengan pidana kurungan paling lama enam 
hari, atau pidana denda paling banyak tiga ratus tujuh puluh lima rupiah.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 515";"(1) Diamcam denga pidana kurungan paling lama enam hari, atau pidana denda 
paling banyak tujuh ratus lima puluh rupiah;
1. barang siapa pindah kediaman dari bagian kota, desa atau kampung di mana dia 
menetap, tanpa memberitahukan sebelumnya kepada penguasa yang berwenang dengan 
menyebut tempat menetap yang baru;
2. barang siapa setelah menetap di bagian kota, desa atau kampung, tidak 
memberitahukan hal itu kepada penguasa yang berwenang dalam tenggang waktu empat 
belas hari, dengan menyebut nama, pencarian dan tempat asalnya.
(2) Ketentuan dalam ayat pertama tidak berlaku bagi orang yang pindah tempat 
kediaman dan menetap, yang masih di dalam satu kota.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 516";"(1) Barang siapa menjadikan sebagai pencarian untuk memberi tempat bermalam 
kepada orang lain, dan tidak mempunyai register terus-menerus, atau tidak 
mencatat atau menyuruh catat nama, pencarian atau pekerjaan, tempat kediaman, 
hari datang dan perginya orang yang bermalam di situ, atau atas permintaan 
kepala polisi atau pejabat yang ditunjuk untuk itu, tidak memperlihatkan 
register itu, diancam dengan pidana denda paling banyak tiga ratus tujuh puluh 
lima rupiah.
(2) Jika ketika melakukan pelanggaran belum lewat dua tahun sejak adanya 
pemidanaan yang menjadi tetap karena pelanggaran yang sama, pidana denda dapat 
diganti dengan pidana kurungan paling lama enam hari.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 517";"(1) Diancam dengan pidana kurungan paling lama satu bulan atau pidana denda 
paling banyak dua ribu dua ratus lima puluh rupiah:
1. barang siapa membeli, menukar, menerima untuk ibadah, gadai, pakai atau 
simpan dari seorang tentara di bawah pangkat perwira; atau menjualkan, 
menggadaikan, meminjamkan atau menyimpankan barang tersebut untuk seorang 
tentara di bawah pangkat perwira, yang diberikan tanpa izin dari atau nama 
perwira.
2. barang siapa menjadikan kebiasaan atau pencarian untuk membeli barang-barang 
yang demikian, tidak menaati peraturan mengenai pencatatan dalam register yang 
ditentukan dalam aturan-aturan umum.
(2) Jika ketika melakukan pelanggaran belum lewat dua tahun sejak adanya 
pemidanaan yang menjadi tetap karena pelanggaran yang sama, pidananya dapat 
dilipatkan dua kali.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 518";"Barang siapa tanpa wenang memberi pada atau menerima dari seorang terpidana 
sesuatu barang, diancam dengan pidana kurungan paling lama enam hari atau pidana 
denda paling banyak tiga ratus tujuh puluh lima rupiah.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 519";"(1) Barang siapa membikin, menjual, menyiarkan atau mempunyai persediaan untuk 
dijual atau disiarkan, ataupun memasukannya ke Indonesia, barang cetakan, 
potongan logam atau benda-benda lain yang bentuknya menyerupai uang kertas, mata 
uang, benda- benda emas atau perak dengan merek negara, atau perangko pos, 
diancam dengan pidana denda paling banyak empat ribu lima ratus rupiah.
(2) Benda-benda yang merupakan pelanggaran dapt dirampas.
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 519 bis";"Diancam dengan pidana kurungan paling lama tiga bulan, atau pidana denda paling 
banyak lima belas ribu rupiah:
1. barang siapa mengumumkan isi apa yang ditangkap lewat pesawat penerima radio 
yang dipakai olehnya atau yang ada di bawah pengurusannya, yang sepatutnya harus 
diduganya bahwa itu tidak untuk dia atau untuk diumumkan, maupun 
memberitahukannya kepada orang lain, jika sepatutnya harus diduganya bahwa itu 
akan diumumkan dan memang lalu disusul dengan pengumuman;
2. barang siapa mengumumkan berita yang ditangkap lewat pesawat penerima radio, 
jika ia sendiri, maupun orang dari mana berita itu diterimanya, tidak berwenang 
untuk itu. 
"
"Bab II";"Pelanggaran Ketertiban Umum";"Pasal 520";"Diancam dengan pidana kurungan paling lama tiga bulan:
1. barang siapa yang setelah mendapat pengunduran pembayaran hutang dengan 
kehendak sendiri melakukan perbuatan-perbuatan, untuk mana menurut aturan-aturan 
umum, diharuskan adanya kerjasama dengan pengurua;
2. seorang pengurus atau komisaris perseroan, maskapai, perkumpulan atau 
yayasan, yang setelah mendapat pengunduran bayar hutang, dengan kehendak sendiri 
melakukan perbuatan-perbuatan untuk mana menurut aturan-aturan umum, diharuskan 
adanya kerjasama dengan pengurus.
"
"Bab III";"Pelanggaran Terhadap Penguasa Umum";"Pasal 521";"Barang siapa melanggar ketentuan peraturan penguasa umum yang telah diumumkan 
mengenai pemakaian dan pembagian air dari perlengkapan air atau bangunan 
pengairan guna keperluan umum, diancam dengan pidana kurungan paling lama dua 
belas hari, atau pidana denda paling banyak sembilan ratus rupiah.
"
"Bab III";"Pelanggaran Terhadap Penguasa Umum";"Pasal 522";"Barang siapa menurut undang-undang dipanggil sebagai saksi, ahli atau juru 
bahasa, tidak datang secara melawan hukum, diancam dengan pidana denda paling 
banyak sembilan ratus rupiah.
"
"Bab III";"Pelanggaran Terhadap Penguasa Umum";"Pasal 523";"Barang siapa tanpa alasan yang sah membiarkan tidak dikerjakannya pekerjaan 
rodi, pekerjaan desa atau pekerjaan perusahaan kebun negara, diancam dengan 
pidana kurungan paling tinggi tiga hari atau pidana denda paling tinggi sepuluh 
rupiah.
Jika ketika melakukan pelanggaran belum lewat enam bulan sejak adanya pemidanaan 
yang menjadi tetap karena pelanggaran yang sama, dapat diancam dengan pidana 
kurungan paling tinggi tiga bulan.
"
"Bab III";"Pelanggaran Terhadap Penguasa Umum";"Pasal 524";"Diancam dengan pidana paling banyak sembilan ratus rupiah:
1. barangsiapa dalam perkara mengenai orang yang belum dewasa, atau orang yang 
sudah tahu akan di bawah pengampuan, atau orang yang akan atau sudah dimasukkan 
dalam rumah sakit jiwa, dipanggil untuk didengar selaku keluarga sedarah atau 
semenda, selaku suami/istri, wali atau wali pengawas oleh hakim atau atas 
perintahnya oleh kepala polisi, tidak datang sendiri maupun dengan perantaraan 
kuasanya jika itu dibolehkan, tanpa alasan yang dapat diterima;
2. barang siapa dalam perkara mengenai orang yang belum dewasa atau orang yang 
sudah atau akan di bawah pengampuan, dipanggil untuk didengar oleh kantor 
peninggalan harta atau atas permintaannya oleh kepala polisi, tidak datang 
sendiri maupun dengan perantaraan kuasanya jika itu dibolehkan, tanpa alasan 
yang dapat diterima;
3. barang siapa dalam perkara mengenai orang yang belum dewasa dipanggil untuk 
didengar oleh majelis perwalian atau atas permintaannya oleh kepala polisi, 
tidak datang sendiri atau dengan perantaraan kuasanya, tanpa alasan yang dapat 
diterima.
"
"Bab III";"Pelanggaran Terhadap Penguasa Umum";"Pasal 525";"(1) Barang siapa ketika ada bahaya umum bagi orang atau barang, atau ketika ada 
kejahatan tertangkap tangan diminta pertolongannya oleh penguasa umum tetapi 
menolaknya, padahal mampu untuk memberi pertolongan tersebut tanpa menempatkan 
diri langsung dalam keadaan yang membahayakan, diancam dengan pidana denda 
paling banyak tiga ratus tujuh puluh lima rupiah;
(2) Ketentuan ini tidak berlaku bagi mereka yang menolak memberi pertolongan 
karena ingin menghindari atau menghalaukan bahaya penuntutan bagi salah seorang 
keluarganya sedarah atau semenda dalam garis lurus atau menyimpang, sampai 
derajat kedua atau ketiga, atau bagi suami (istri) atau bekas suaminya 
(istrinya).
"
"Bab III";"Pelanggaran Terhadap Penguasa Umum";"Pasal 526";"Barang siapa menyobek, membikin tak terbaca atau merusak suatu pemberitahuan di 
muka umum dari pihak penguasa yang wenang atau karena ketentuan undang-undang, 
diancam dengan pidana denda paling banyak dua ratus dua puluh lima rupiah.
"
"Bab III";"Pelanggaran Terhadap Penguasa Umum";"Pasal 527";"Ditiadakan berdasarkan L.N. 1955 - 28.
"
"Bab III";"Pelanggaran Terhadap Penguasa Umum";"Pasal 528";"(1) Diancam dengan pidana kurungan paling lama dua bulan atau pidana denda 
paling banyak empat ribu lima ratus rupiah, barang siapa tanpa izin penguasa 
yang berwenang:
1. membikin salinan atau petikan dari surat-surat jabatan negara dan 
alat-alatnya, yang dengan perintah penguasa umum harus dirahasiakan;
2. mengumumkan seluruh atau sebagaian surat-surat tersebut dalam butir 1;
3. mengumumkan hal-hal yang termakstub dalam surat-surat tersebut dalam butir 1, 
padahal sewajarnya dapat diduga bahwa hal-hal itu harus dirahasiakan.
(2) Perbuatan itu tidak dipidana, jika perintah merahasiakan jelas diberikan 
karena alasan lain daripada kepentingan dinas atau umum.
"
